"","Provinces","intermonH_06","premonH_06","monH_06","postmonH_06","intermonH_07","premonH_07","monH_07","postmonH_07","intermonH_08","premonH_08","monH_08","postmonH_08","intermonH_09","premonH_09","monH_09","postmonH_09","intermonH_10","premonH_10","monH_10","postmonH_10","intermonH_11","premonH_11","monH_11","postmonH_11","intermonH_12","premonH_12","monH_12","postmonH_12","intermonH_13","premonH_13","monH_13","postmonH_13","intermonH_14","premonH_14","monH_14","postmonH_14","intermonH_15","premonH_15","monH_15","postmonH_15","intermonH_16","premonH_16","monH_16","postmonH_16","intermonH_17","premonH_17","monH_17","postmonH_17","intermonH_18","premonH_18","monH_18","postmonH_18","intermonH_19","premonH_19","monH_19","postmonH_19","intermonH_20","premonH_20","monH_20","postmonH_20"
"11","Chiang Rai","71.2390188336766","79.3175388122156","81.1059487377456","75.760226951574","66.2396567274373","79.0626851450099","81.2835707050739","72.8518331578069","68.4797553596455","76.7669299412089","80.1178087983588","78.4524973501073","67.2720878525536","78.1641108866441","79.8457990841504","78.0309137023322","73.5210717372244","75.677913812652","82.2042499265262","74.886812996943","68.0144401630028","80.9628754417495","81.4248266975478","74.483855486703","71.3181884165513","77.1830882039925","79.6409955449624","81.2664116585609","72.8629731659842","76.8974470132255","81.8118493643531","78.0178356422449","66.6396183018112","75.7624460394495","79.8138792837414","80.0699988072462","67.7088742607629","76.9013756897846","79.0636372959653","80.4013058375998","72.8855298402154","73.9027310739649","81.5201111249011","81.9031322088966","68.2123380856152","78.9560283497222","81.1721150961646","80.0713200773737","73.2297507559899","81.0908426761103","81.8904759592743","78.036631115199","71.5530075685944","76.3056727788105","79.8697772734236","73.2987140428902","68.0328215272776","77.1368620088785","82.8182434831122","77.9074431000763"
"12","Chon Buri","73.7792334753942","82.0496796348233","83.6775285850451","77.6338509787207","67.9608203528626","81.9914917631544","83.2987549362222","74.7675684586312","70.8855401885264","79.9271891169482","82.769657628172","79.3691039399706","68.995051766514","80.7583282995703","82.9572703371745","79.3027137440568","75.220570646951","79.4880122836293","84.6461036479406","76.503752381447","69.3884156983586","82.7643713167347","83.5068433729434","76.3978468788237","73.5920449115413","81.3191066528174","83.1510801719779","83.2322264463243","75.1560071263925","80.0685865362912","83.9703042347576","79.7574280849451","68.6815048475075","79.7130286792254","82.8930154360857","81.7305389486166","70.008090813711","79.5708386189404","82.0106271939675","81.3988053931469","74.1275988231016","77.3853984956867","84.1275792431332","83.3403371305081","69.9670226315261","81.1262965474415","83.5519595372781","81.1680398706154","74.1348139704888","82.6093750207921","83.7397520487322","79.4072243500925","72.8942723690885","79.5995568801913","82.5417378425111","76.0496129234287","71.1410359269085","80.4707978277348","84.6600803624749","79.3265595745541"
"13","Chumphon","72.4937320033432","83.322099559698","87.8042355917551","79.5272264725123","69.2984192632573","84.3451460043219","86.9310668087228","78.5430580619332","70.8238592585021","82.427767097811","86.8781990282463","81.6091147914077","69.5807545135071","84.1577199952215","87.2416896331004","81.0608440390278","75.5146995817124","79.7601103556647","87.6478928274763","79.6311709352862","71.089721875313","83.2269071891684","87.6574005447067","80.1719650410828","75.2838703472668","83.2732311803052","87.8846345870367","84.6361464342593","72.88221889813","81.985286908272","88.1437294922231","82.4633584811693","71.3425898933559","81.8714504553166","87.2924105637557","83.2247591618892","70.7670797245764","82.1229981494302","86.4913442940701","82.4182098495376","72.9246090931215","77.3948245163379","87.857805743362","85.5253976541799","72.7055538595417","84.0212898402596","87.3178350719816","83.3140328058274","74.00001772782","83.5597718452981","87.8191729570046","80.7377232682732","70.1366196627198","82.0076382777074","86.434881445967","77.8088557370059","68.8914893016207","81.6931094426746","87.9342634983552","81.7010437980954"
"14","Kalasin","75.4951971410736","83.9428264132037","88.6949115277629","80.5245430799035","71.0495614428292","85.2990322578244","87.7226062402493","79.0998719481595","72.4733411863029","83.5543939854071","87.8514039316151","81.8620094878241","70.7736207743216","85.3842816374382","88.4683055412479","80.9859407316379","76.522178084762","81.4794528964628","88.212633060569","81.4065068459446","72.0721214073891","84.2467097736417","88.5542830128657","80.7519044333357","76.5416190432555","84.9895546421234","88.945423689638","85.3304458866274","75.1298552515707","83.1761604109215","88.9019027182726","83.0051793457693","72.8487027176027","83.0252830346856","88.6267953681429","82.9116521695765","72.6505453976405","84.0104898454482","87.7652386094173","83.1302747442147","74.9428227673594","80.6323608081407","88.8205243242465","85.8508597066408","74.5597441551808","84.7973426329519","88.1988793815054","83.9096752363168","76.7314629696895","84.4463068850964","88.8901139752975","81.0254959892129","73.9042935909833","83.6604631074184","88.2457667818561","79.4890105498193","72.1298392622344","84.0135381021474","88.1471135002488","82.0813638330476"
"15","Kamphaeng Phet","68.581895938818","77.3708814206331","82.0362136287966","74.8434009607287","65.000611711585","76.9205027667796","82.0583079103111","72.4010955064193","66.8025739992298","75.104346410779","81.8871253497359","78.4709303703861","66.144480531112","76.9871041339377","81.2129683867745","77.6392660058063","72.71365682261","73.2626145293747","83.0011178030484","74.6119064331054","67.2302154762157","79.1250211190486","82.8975530790246","74.6967472214629","69.5561923225145","75.8173343676876","81.5561501986739","79.2855009825333","69.3998947622696","74.4599700522307","83.1424381836601","76.8054415163787","65.8783466652395","73.9343718782139","81.186636847344","79.3667297639709","66.4788239151959","74.8987925506445","78.9555442892987","79.1130637237991","70.1132874972578","70.287898346537","82.4839050597039","81.1889268018197","66.9712162146822","77.8930423239003","82.559509432143","79.0716997505962","70.8977617015009","78.8397564689894","83.0017742682194","76.9465171482252","68.2329133720214","74.4146618718686","80.8836555978526","72.8553213589433","65.329788840105","74.5031613667806","83.5144408433334","77.1552337646484"
"16","Kanchanaburi","68.9291709877429","77.2273932575419","84.705523323767","75.676296947631","65.8658895478508","76.7233569969661","84.1388714022068","73.6777718534175","67.5231491897875","75.5266245419217","84.9450191756236","79.257223362424","66.8888176013046","77.6360899822701","84.6825914621704","78.1307111636177","74.07178727657","73.9604025172672","85.6472702897174","75.9340672275279","68.4419904829652","78.0702010928619","85.7741332580836","76.9957695007324","70.558122484135","76.1196467081706","85.4486546804347","78.5487956579374","68.877643497188","73.3792303026337","85.3987965703186","78.341963873345","68.3602549665748","73.975764713278","84.6695478071345","80.7119203435479","68.3810797603796","75.2932155910636","82.0252651135946","80.3523418948998","69.7474536230942","69.9699839169217","85.4313741242938","81.6535961448883","68.0251364935012","78.0061872404583","85.1090863723643","79.0320162934653","70.5316145854308","78.0809772774233","85.7254224757558","77.5756312835199","69.2496223468434","74.9102298285251","83.712441827833","74.5983363784993","65.2938407744388","73.6747202285669","85.4835260669332","78.9557136850259"
"17","Khon Kaen","70.0857709647263","76.1343126133763","82.7617556984472","75.7111505453642","66.8043104536401","76.6203975849024","82.1885506386753","72.8321497745364","68.4677558303537","74.5953389614051","83.9332290762295","79.5530779733152","67.6770240356516","76.245912731714","82.8402222831732","77.464456881929","74.2534467311468","72.7111568378994","84.2401073860852","76.7466339131248","69.4166943356719","78.4314199148277","84.744495903128","77.1011772288562","71.8661172555293","76.1124230526757","84.1069737543118","78.6089109083794","70.5416387364869","73.0903107897939","84.0570109593962","77.8661797260388","68.536177804237","74.1146990579904","83.436380258532","79.2633915727714","68.6490619749064","74.9973298336479","80.0680111436039","80.8537844266966","71.7317465773036","70.6229597068988","83.9678208605947","81.7347866486631","69.655801782478","76.9697088712466","84.2937714482931","79.1875543453259","72.9439693967743","78.7324256686705","84.3753082069549","78.6422265520088","72.5656283992527","75.2563778041998","82.1563436177837","75.0656990469592","66.7716052346137","73.8059449977449","84.3396464000068","78.4233007572131"
"18","Krabi","65.5558668940799","75.431217430794","84.1905905995148","76.4973945322942","64.2696559223908","76.4406444417632","83.370698021474","73.9894799196694","63.753757991889","74.8278673100419","83.0849679311117","79.7114117603429","64.5367046213045","76.819118230285","83.1702775639414","79.353832122769","71.1419069010866","70.5459174183557","83.7997865718985","76.3786733008378","65.8049101952335","74.8310933313096","85.0891691675249","77.5789127476168","69.1030691833159","73.5440040922411","83.5530591042626","80.5297579144274","66.6006940963779","71.9758346703581","84.9454519385534","80.3890149788088","68.4343666444376","72.6472465341104","83.4158758222399","79.5675800230856","65.9230442173434","72.3937033540278","80.5876962164906","78.8215600070575","65.6709868772842","66.5943200656647","84.0119171268893","82.3902010296618","66.5286095066927","76.9693938136715","83.3366737534142","79.354301751581","67.2204251938484","75.7365991453461","84.8135451428411","76.4519955043498","63.7423299939603","72.3317949577146","82.1387028409945","74.2030133674739","62.3545964320325","71.6274335480859","83.5049088332827","80.0495399955093"
"19","Lampang","63.8742071418913","71.9696625565412","77.1254194930684","73.871803785083","61.9969363040304","70.6701364683198","76.7483914910695","74.0230140507458","65.5233569371287","71.8111799059474","79.4806128808565","78.7669124211774","64.6432389275479","73.698280350041","78.1245080050179","75.2005333301186","70.1164637840233","66.732832979947","80.4523301734141","75.7834727686002","67.5849823691295","72.461027927694","81.3369256982196","77.3450996019791","70.113400039975","72.397362488456","78.9250381759572","76.8106878937944","67.3663468732366","66.4098497779269","80.522051780654","77.8545237229717","67.5388222400087","70.3920151982155","78.3990226645327","76.9940607279034","65.4409570264696","68.3424660958902","77.9256009014983","78.5194610538009","67.2140307684589","62.3975583961239","79.4810337826293","79.8479875503447","67.2592284894336","73.6850926732691","81.0816497768392","77.8866062198649","69.1457925800401","74.2561482608197","80.5581966746313","74.9250794061448","66.313095090484","67.9117360072124","76.3093637439644","72.694035897892","60.7024724134061","66.1421426675312","79.1800096818857","79.5536195702119"
"20","Lamphun","60.7469911582335","66.9584632445002","76.8639050414231","73.4755869424019","60.3125164919927","67.8183789855568","77.2173122170219","73.8481808340313","63.1249070821336","69.172076468787","77.8439478477719","77.7814204824418","63.094115768369","70.393823396759","76.4701439757133","74.7462580626812","66.8380317089164","62.6422248533435","79.5726503999554","75.26459801276","64.9758913509396","67.8689732115322","80.7074506968764","76.0998208366658","67.5238803127159","69.1548218033552","77.1429047952951","76.9865848016353","64.9722345411587","64.2628056486652","79.7799622154657","77.3497739515382","65.8799855127211","67.1129120842394","77.6026770779102","76.4370920379167","64.5744789821539","63.3781915701631","76.4392456296088","77.247592541468","64.8347100114483","59.7197358255618","78.4389530515916","78.6109001996151","66.7621050608459","72.1055016254484","80.1424512505268","76.6559987183965","67.0587908267858","71.0094349786058","78.888215607453","72.6658002616203","62.6910045746351","63.6165714062749","74.5069567783516","73.343110921718","59.5071974729304","63.1895835638807","77.8521037140341","78.9200308226416"
