"","Provinces","Year","Dengue","Population_density","Humidity"
"50","Prachuap Khiri Khan",2006,48.3230486789004,77.6453368762583,73.7182475415037
"51","Ranong",2006,77.4391964023962,54.5323062602239,77.0938581119638
"52","Ratchaburi",2006,150.101390602787,159.518149079123,72.0524550953618
"53","Rayong",2006,170.531475482887,161.53856981982,74.7176051567081
"54","Roi Et",2006,120.129391275641,157.847466741467,71.6084041117539
"55","Sa Kaeo",2006,82.1683542402024,74.8205246376095,74.866809357714
"56","Sakon Nakhon",2006,92.8068826231016,115.45630311134,74.2574962366064
"57","Samut Prakan",2006,124.052744600422,1103.11206542827,76.9944286056229
"58","Samut Sakhon",2006,100.439636204233,530.190394418735,68.5963716121103
"59","Samut Songkhram",2006,86.5034086462216,467.930704307823,69.3365278814948
"60","Saraburi",2006,58.3023145531672,170.517932965486,71.8860969024027
"61","Satun",2006,8.78790222228471,113.573058564077,71.9124750451943
"62","Si Sa Ket",2006,116.769726634101,163.629856008659,76.4145978230475
"63","Sing Buri",2006,53.3264086286766,263.799153290422,78.6223439061974
"64","Songkhla",2006,72.9103376443017,178.187825108005,81.6180152055479
"65","Sukhothai",2006,47.5796339341914,92.3001073969253,81.7868596710329
"66","Suphan Buri",2006,79.8733420050701,157.503310931973,82.419279810208
"67","Surat Thani",2006,102.841644477053,74.5219959028719,80.2429481808678
"68","Surin",2006,203.981723237598,169.282067971959,82.5295143772116
"69","Tak",2006,173.093150106983,32.1623853742233,82.997371673584
"70","Trang",2006,17.03990614944,123.527738276151,82.8229874238378
"71","Trat",2006,65.7468158136962,78.0237672933664,81.5416312422296
"72","Ubon Ratchathani",2006,57.176169241461,113.24560094253,81.7114231257241
"73","Udon Thani",2006,40.9620261764986,130.223586741416,81.2847063915704
"74","Uthai Thani",2006,96.6434742717333,48.5848511332275,82.7052980619637
"75","Uttaradit",2006,79.9523724576972,59.6385167132056,80.8058800039939
"76","Yala",2006,67.5602465311638,103.570874026062,81.4408552848686
"77","Yasothon",2006,22.6117707240586,129.969406468182,84.4985244648229
"78","Amnat Charoen",2007,74.9710400675551,116.69916438065,72.3169077161938
"79","Ang Thong",2007,142.540664464191,293.694984985109,72.7753253120763
"80","Bangkok",2007,127.563460851851,3643.85362237265,70.372345149179
"81","Bungkan",2007,NA,0,72.1195539177054
"82","Buri Ram",2007,109.168747770246,148.802393904417,69.1401968241492
"83","Chachoengsao",2007,118.376126227757,123.148196598767,66.8279395245653
"84","Chai Nat",2007,78.5826546649521,136.510799086222,68.627309143361
"85","Chaiyaphum",2007,70.2803285449478,87.6171430489861,66.7047595081389
"86","Chanthaburi",2007,203.535293886067,79.52082675923,67.093364146229
"87","Chiang Mai",2007,39.8128020010573,82.7768578962103,71.0544183876204
"88","Chiang Rai",2007,66.8124046191815,104.895897706264,76.0021600046567
"89","Chon Buri",2007,14.5490544300685,282.705936282375,78.2286613047214
"90","Chumphon",2007,225.490074723243,80.0960824149344,80.973804084108
"91","Kalasin",2007,146.640601768067,140.714515832305,81.8856481467698
"92","Kamphaeng Phet",2007,104.101689173837,84.3444488462955,75.3118767632378
"93","Kanchanaburi",2007,103.578882275643,42.8720245824751,76.2259659502632
"94","Khon Kaen",2007,55.9762792686753,160.978821312639,75.5752321757335
"95","Krabi",2007,158.823037699574,87.210991497951,75.3900176182313
"96","Lampang",2007,31.1353999075057,61.4820007817162,71.3759611220423
"97","Lamphun",2007,96.7602591792657,89.9173569125867,70.3577336729348
"98","Loei",2007,47.3785742121493,53.8782411166349,71.2241301892609
"99","Lop Buri",2007,71.7696049753184,120.943689208264,72.9278031652226
"100","Mae Hong Son",2007,83.1051240245041,20.0929576471863,74.1150320593486
"101","Maha Sarakham",2007,78.9877611666279,176.88228867829,71.234721034282
"102","Mukdahan",2007,97.1860490611768,77.4470428565174,72.7937411912059
"103","Nakhon Nayok",2007,167.495503543327,117.104618284637,72.749618944616
"104","Nakhon Pathom",2007,152.44209630405,383.230942565397,73.1655932727005
"105","Nakhon Phanom",2007,15.0136409652198,126.455103046293,69.7916753401701
"106","Nakhon Ratchasima",2007,53.0969932365658,124.572483878668,68.9362770825125
"107","Nakhon Sawan",2007,139.261374796484,111.869049145955,69.4623672843217
"108","Nakhon Si Thammarat",2007,72.893667106584,151.571204109388,72.3705985956025
"109","Nan",2007,16.3871054489227,41.612448039029,71.3424640304986
"110","Narathiwat",2007,210.992735404831,158.982935717909,68.3728886742596
"111","Nong Bua Lam Phu",2007,22.22133247918,128.943226453103,69.4952324567351
