"","Province","Year","Season","Dengue","Humidity"
"1","Amnat Charoen",2006,"intermon",NA,70.4346075125942
"2","Ang Thong",2006,"intermon",4.92254031208906,70.9407692481213
"3","Bangkok",2006,"intermon",7.59239277232198,67.8145419817942
"4","Bungkan",2006,"intermon",NA,69.0435961638346
"5","Buri Ram",2006,"intermon",0.585910798336013,64.402425707475
"6","Chachoengsao",2006,"intermon",2.12454056810215,59.7492567331606
"7","Chai Nat",2006,"intermon",3.11436850987848,59.794318006673
"8","Chaiyaphum",2006,"intermon",0.312612484670824,57.7720776757375
"9","Chanthaburi",2006,"intermon",3.17458427826819,58.137703616253
"10","Chiang Mai",2006,"intermon",0.360490483351648,64.1016082431959
"11","Chiang Rai",2006,"intermon",0.122447680147068,71.2390188336766
"12","Chon Buri",2006,"intermon",0.283757862119623,73.7792334753942
"13","Chumphon",2006,"intermon",1.76605761918811,72.4937320033432
"14","Kalasin",2006,"intermon",0.66495619473191,75.4951971410736
"15","Kamphaeng Phet",2006,"intermon",2.41048824094965,68.581895938818
"16","Kanchanaburi",2006,"intermon",1.61622062967956,68.9291709877429
"17","Khon Kaen",2006,"intermon",0.970090401012546,70.0857709647263
"18","Krabi",2006,"intermon",4.0181767705548,65.5558668940799
"19","Lampang",2006,"intermon",0.259533643995105,63.8742071418913
"20","Lamphun",2006,"intermon",0.987271600885583,60.7469911582335
"21","Loei",2006,"intermon",0.812297534839441,60.0300976018833
"22","Lop Buri",2006,"intermon",1.6670645394034,60.2239182196228
"23","Mae Hong Son",2006,"intermon",0.784917034269478,61.2084710001374
"24","Maha Sarakham",2006,"intermon",0.320511108380831,61.8658313270088
"25","Mukdahan",2006,"intermon",0.743810750743067,64.1848385350766
"26","Nakhon Nayok",2006,"intermon",1.81089434035155,62.99815919616
"27","Nakhon Pathom",2006,"intermon",5.17467537937591,63.7309082239324
"28","Nakhon Phanom",2006,"intermon",0.286900825557126,64.5956268613438
"29","Nakhon Ratchasima",2006,"intermon",0.567962823112092,60.8048546926936
"30","Nakhon Sawan",2006,"intermon",5.26226083490192,62.8598905564623
"31","Nakhon Si Thammarat",2006,"intermon",6.46982044423446,66.7351941399825
"32","Nan",2006,"intermon",NA,63.9626138423171
"33","Narathiwat",2006,"intermon",1.1946306272373,59.7464851080897
"34","Nong Bua Lam Phu",2006,"intermon",0.602890255886721,60.7867436678904
"35","Nong Khai",2006,"intermon",0.720127451480028,63.0376810991751
"36","Nonthaburi",2006,"intermon",3.12441722295939,63.1979058721151
"37","P.Nakhon S.Ayutthaya",2006,"intermon",4.46949699754966,65.0366366566091
"38","Pathum Thani",2006,"intermon",1.11502236177347,65.7053794031557
"39","Pattani",2006,"intermon",5.09559333088745,67.7301105079324
"40","Phangnga",2006,"intermon",5.87313224268592,66.6217983451881
"41","Phatthalung",2006,"intermon",6.26787089379839,66.4122242818862
"42","Phayao",2006,"intermon",NA,65.7190495649974
"43","Phetchabun",2006,"intermon",1.30321764436393,66.761973233831
"44","Phetchaburi",2006,"intermon",4.16610935817796,65.9053673906857
"45","Phichit",2006,"intermon",6.03886505389912,66.1569713744938
"46","Phitsanulok",2006,"intermon",0.950476604612425,70.6395612082485
"47","Phrae",2006,"intermon",1.60987043762718,66.867878851896
"48","Phuket",2006,"intermon",2.37719415020064,60.9628675539606
"49","Prachin Buri",2006,"intermon",2.19786016334497,67.8662294398473
"50","Prachuap Khiri Khan",2006,"intermon",2.12297912606048,66.8921488007012
"51","Ranong",2006,"intermon",6.91421396449966,65.9787784657753
"52","Ratchaburi",2006,"intermon",7.99819108580556,64.6886033863491
"53","Rayong",2006,"intermon",4.79887569198074,66.6793107787215
"54","Roi Et",2006,"intermon",0.191045469585943,63.608949893581
"55","Sa Kaeo",2006,"intermon",1.94755692894385,64.8303682954718
"56","Sakon Nakhon",2006,"intermon",0.359368374145602,68.0572672910084
"57","Samut Prakan",2006,"intermon",7.32070917706355,67.1995693072734
"58","Samut Sakhon",2006,"intermon",10.958985729911,59.8747508502829
"59","Samut Songkhram",2006,"intermon",6.69371614524334,64.5749400071507
"60","Saraburi",2006,"intermon",1.38041691838975,69.4069460035669
"61","Satun",2006,"intermon",0.878790222228471,69.5442387620026
"62","Si Sa Ket",2006,"intermon",0.727645180805967,68.7426441201831
"63","Sing Buri",2006,"intermon",3.24595530783249,71.7985052596273
"64","Songkhla",2006,"intermon",5.50978742032508,81.4719191258788
"65","Sukhothai",2006,"intermon",0.413017655678745,77.5135824879918
"66","Suphan Buri",2006,"intermon",3.56047586946821,78.255698602591
"67","Surat Thani",2006,"intermon",8.86210563629918,77.3088754640592
"68","Surin",2006,"intermon",1.71198946288698,81.6449765692224
"69","Tak",2006,"intermon",2.26019347256125,78.5051061969431
"70","Trang",2006,"intermon",1.72037514008769,80.4788433089202
"71","Trat",2006,"intermon",3.17398421169568,78.9531962819619
"72","Ubon Ratchathani",2006,"intermon",0.336000994562944,76.9208405124795
"73","Udon Thani",2006,"intermon",0.293985833802622,76.8456368354059
"74","Uthai Thani",2006,"intermon",3.36417157275021,82.330348866881
"75","Uttaradit",2006,"intermon",0.644777197239494,80.8649924231964
"76","Yala",2006,"intermon",1.69962884355129,81.1217099076611
"77","Yasothon",2006,"intermon",NA,85.1931687722404
"78","Amnat Charoen",2006,"premon",3.79491210712495,72.8891342295981
"79","Ang Thong",2006,"premon",8.90745389806591,74.0069417778276
"80","Bangkok",2006,"premon",8.35629711423764,70.5095114697315
"81","Bungkan",2006,"premon",NA,72.3124990022615
"82","Buri Ram",2006,"premon",5.55530238422294,69.3727473093408
"83","Chachoengsao",2006,"premon",2.02337196962109,66.6869290467522
"84","Chai Nat",2006,"premon",1.77963914850199,68.2265212966032
"85","Chaiyaphum",2006,"premon",3.39407840499751,65.8779521121173
"86","Chanthaburi",2006,"premon",10.3835360768355,64.9868717912729
"87","Chiang Mai",2006,"premon",2.42329713808608,71.5505122336788
"88","Chiang Rai",2006,"premon",0.517001316176509,79.3175388122156
"89","Chon Buri",2006,"premon",0.621564840833459,82.0496796348233
"90","Chumphon",2006,"premon",4.98651563064879,83.322099559698
"91","Kalasin",2006,"premon",3.64873399160587,83.9428264132037
"92","Kamphaeng Phet",2006,"premon",4.45366398804031,77.3708814206331
"93","Kanchanaburi",2006,"premon",2.59393434393015,77.2273932575419
"94","Khon Kaen",2006,"premon",4.88849476588675,76.1343126133763
"95","Krabi",2006,"premon",3.16583624346742,75.431217430794
"96","Lampang",2006,"premon",2.37905840328846,71.9696625565412
"97","Lamphun",2006,"premon",3.78454113672807,66.9584632445002
"98","Loei",2006,"premon",8.66450703828737,66.14062895228
"99","Lop Buri",2006,"premon",7.69072440844771,68.5770904736151
"100","Mae Hong Son",2006,"premon",NA,69.403887107754
"101","Maha Sarakham",2006,"premon",1.85184195953369,67.5740285512564
"102","Mukdahan",2006,"premon",3.47111683680098,75.2682946828266
"103","Nakhon Nayok",2006,"premon",8.18255961195888,68.8901053667068
"104","Nakhon Pathom",2006,"premon",4.17183131360538,73.9890627311938
"105","Nakhon Phanom",2006,"premon",3.29935949390694,70.0841081605416
"106","Nakhon Ratchasima",2006,"premon",3.76030558750074,68.2272602424053
"107","Nakhon Sawan",2006,"premon",4.93628007521773,69.4642470557136
"108","Nakhon Si Thammarat",2006,"premon",4.18049936396688,75.0102348693491
"109","Nan",2006,"premon",0.768079723882322,72.0528674125671
"110","Narathiwat",2006,"premon",0.936965197833174,66.8194198304842
"111","Nong Bua Lam Phu",2006,"premon",4.95709765951304,66.833329823332
"112","Nong Khai",2006,"premon",2.58507290274882,68.5312799274517
"113","Nonthaburi",2006,"premon",5.9884663440055,69.6725083065672
"114","P.Nakhon S.Ayutthaya",2006,"premon",2.71675307694195,71.9298418017401
"115","Pathum Thani",2006,"premon",4.83176356768502,70.9749294041436
"116","Pattani",2006,"premon",2.6653872807719,68.1169230440794
"117","Phangnga",2006,"premon",6.88574125004557,64.8517962599867
"118","Phatthalung",2006,"premon",2.38776034049462,67.6647306814218
"119","Phayao",2006,"premon",1.50712080326799,71.0060360802544
"120","Phetchabun",2006,"premon",5.21287057745574,69.7134334996598
"121","Phetchaburi",2006,"premon",6.21261921833556,71.758607734636
"122","Phichit",2006,"premon",3.90573361694968,68.2064274325821
"123","Phitsanulok",2006,"premon",4.27714472075591,68.2767785871932
"124","Phrae",2006,"premon",11.3048679620042,66.3417720120472
"125","Phuket",2006,"premon",3.90916371366327,66.9479417411902
"126","Prachin Buri",2006,"premon",10.4032047731662,72.6486667015033
"127","Prachuap Khiri Khan",2006,"premon",5.0547122049059,68.1365625555064
"128","Ranong",2006,"premon",5.90012924970638,72.7050838467748
"129","Ratchaburi",2006,"premon",8.17860141104929,64.2759345118205
"130","Rayong",2006,"premon",11.6544123948104,71.3928601805989
"131","Roi Et",2006,"premon",4.68698218717514,67.4709248800023
"132","Sa Kaeo",2006,"premon",6.86281965437356,74.5487629295958
"133","Sakon Nakhon",2006,"premon",5.15094669608696,74.5109856739669
"134","Samut Prakan",2006,"premon",7.15802675090658,75.4373525449997
"135","Samut Sakhon",2006,"premon",6.73853491483201,66.5725914738096
"136","Samut Songkhram",2006,"premon",4.80574492479009,69.0377994449774
"137","Saraburi",2006,"premon",3.62697778557307,72.895986286903
"138","Satun",2006,"premon",0.468688118521851,72.7774962224401
"139","Si Sa Ket",2006,"premon",7.20715226703054,78.5571794068905
"140","Sing Buri",2006,"premon",3.86423250932439,79.5482869412228
"141","Songkhla",2006,"premon",3.6480327668819,79.5947245424934
"142","Sukhothai",2006,"premon",1.48686356044348,79.0255716053862
"143","Suphan Buri",2006,"premon",3.79784092743275,80.6878554216072
"144","Surat Thani",2006,"premon",6.93854782376913,79.1523202215875
"145","Surin",2006,"premon",6.89652492850926,79.2892115147612
"146","Tak",2006,"premon",8.97799073822942,81.0798321284176
"147","Trang",2006,"premon",1.20153184387077,81.0861353448636
"148","Trat",2006,"premon",5.13883158084062,81.0004671908841
"149","Ubon Ratchathani",2006,"premon",2.42667384962126,80.9037498601613
"150","Udon Thani",2006,"premon",1.67680808909644,79.7694752970049
"151","Uthai Thani",2006,"premon",5.50500802813671,82.1706789340104
"152","Uttaradit",2006,"premon",2.79403452137114,80.9228691422052
"153","Yala",2006,"premon",2.47862539684563,81.6277852850445
"154","Yasothon",2006,"premon",1.60630065252875,84.2177815115892
"155","Amnat Charoen",2006,"mon",9.14844882967621,75.7191169720648
"156","Ang Thong",2006,"mon",11.3394232189194,76.1965171070549
"157","Bangkok",2006,"mon",13.947085570815,73.7224516909443
"158","Bungkan",2006,"mon",NA,75.8747503521419
"159","Buri Ram",2006,"mon",16.1450975541479,73.9907246708783
"160","Chachoengsao",2006,"mon",9.2569267610165,72.4789152012668
"161","Chai Nat",2006,"mon",6.22873701975696,76.6443550324221
"162","Chaiyaphum",2006,"mon",6.16293184065338,72.4340473382751
"163","Chanthaburi",2006,"mon",17.0137876163436,72.991566342986
"164","Chiang Mai",2006,"mon",10.5443466380357,78.3172658878824
"165","Chiang Rai",2006,"mon",1.53059600183835,81.1059487377456
"166","Chon Buri",2006,"mon",0.709394655299056,83.6775285850451
"167","Chumphon",2006,"mon",10.1288598747553,87.8042355917551
"168","Kalasin",2006,"mon",7.46796957160453,88.6949115277629
"169","Kamphaeng Phet",2006,"mon",14.2218806216029,82.0362136287966
"170","Kanchanaburi",2006,"mon",6.13565239045017,84.705523323767
"171","Khon Kaen",2006,"mon",13.3244769786135,82.7617556984472
"172","Krabi",2006,"mon",4.13993970299586,84.1905905995148
"173","Lampang",2006,"mon",4.1200965984223,77.1254194930684
"174","Lamphun",2006,"mon",13.4515755620661,76.8639050414231
"175","Loei",2006,"mon",7.79805633445864,78.9907044034234
"176","Lop Buri",2006,"mon",13.1364685704988,80.6612783150438
"177","Mae Hong Son",2006,"mon",5.39630461060266,83.2216936963631
"178","Maha Sarakham",2006,"mon",3.52562219218914,79.5467865265168
"179","Mukdahan",2006,"mon",9.66953975965987,80.5026762870771
"180","Nakhon Nayok",2006,"mon",8.65205073723521,81.316885750944
"181","Nakhon Pathom",2006,"mon",12.0642141112194,84.9381672425704
"182","Nakhon Phanom",2006,"mon",4.80558882808185,77.3945513463929
"183","Nakhon Ratchasima",2006,"mon",10.8696333388693,75.0457463504216
"184","Nakhon Sawan",2006,"mon",15.9497728845479,79.1817495837183
"185","Nakhon Si Thammarat",2006,"mon",2.78699957597792,80.578354979398
"186","Nan",2006,"mon",3.61346597371911,81.8447754425662
"187","Narathiwat",2006,"mon",2.24871647479962,74.2311061636523
"188","Nong Bua Lam Phu",2006,"mon",3.96902751792091,76.9744453646102
"189","Nong Khai",2006,"mon",4.07148982182939,78.2053725374473
"190","Nonthaburi",2006,"mon",21.3095018409652,81.190786177445
"191","P.Nakhon S.Ayutthaya",2006,"mon",5.19250386480034,83.762187196332
"192","Pathum Thani",2006,"mon",12.2373704204638,81.9244059617969
"193","Pattani",2006,"mon",4.74282148490293,83.7113216251783
"194","Phangnga",2006,"mon",12.4550907905236,80.1880216770203
"195","Phatthalung",2006,"mon",1.49235021280914,83.2517573804203
"196","Phayao",2006,"mon",2.72309326954102,83.6965599236665
"197","Phetchabun",2006,"mon",13.1574858325205,84.7693044397922
"198","Phetchaburi",2006,"mon",4.16610935817796,84.3578050956977
"199","Phichit",2006,"mon",7.84151133864513,81.7560539200779
"200","Phitsanulok",2006,"mon",8.19786071478217,81.5235017634364
"201","Phrae",2006,"mon",19.5330946432098,86.3959239657412
"202","Phuket",2006,"mon",5.46754654546146,76.0709661021422
"203","Prachin Buri",2006,"mon",10.1651032554705,80.5172922400789
