"","Year","Provinces","intermon","intermonH","premon","premonH","mon","monH","postmon","postmonH"
"X26",2006,"Amnat Charoen",2.76398487916844,62.99815919616,3.79491210712495,68.8901053667068,9.14844882967621,81.316885750944,5.28577043492403,73.9142860911109
"X6",2006,"Ang Thong",4.92254031208906,59.7492567331606,8.90745389806591,66.6869290467522,11.3394232189194,72.4789152012668,8.43864053500981,71.6859728242484
"X1",2006,"Bangkok",7.59239277232198,70.4346075125942,8.35629711423764,72.8891342295981,13.947085570815,75.7191169720648,11.8259389725568,72.710974672911
"X27",2006,"Bungkan",NA,63.7309082239324,NA,73.9890627311938,NA,84.9381672425704,NA,73.7258614626797
"X20",2006,"Buri Ram",0.585910798336013,60.7469911582335,5.55530238422294,66.9584632445002,16.1450975541479,76.8639050414231,1.95303599445338,73.4755869424019
"X15",2006,"Chachoengsao",2.12454056810215,68.581895938818,2.02337196962109,77.3708814206331,9.2569267610165,82.0362136287966,9.56043255645967,74.8434009607287
"X9",2006,"Chai Nat",3.11436850987848,58.137703616253,1.77963914850199,64.9868717912729,6.22873701975696,72.991566342986,5.48722070788113,72.5726211233531
"X25",2006,"Chaiyaphum",0.312612484670824,64.1848385350766,3.39407840499751,75.2682946828266,6.16293184065338,80.5026762870771,4.91248190197008,74.3904915659992
"X13",2006,"Chanthaburi",3.17458427826819,72.4937320033432,10.3835360768355,83.322099559698,17.0137876163436,87.8042355917551,6.44837431523225,79.5272264725123
"X39",2006,"Chiang Mai",0.360490483351648,67.7301105079324,2.42329713808608,68.1169230440794,10.5443466380357,83.7113216251783,1.53208455424451,78.2390156860955
"X46",2006,"Chiang Rai",0.122447680147068,70.6395612082485,0.517001316176509,68.2767785871932,1.53059600183835,81.5235017634364,0.571422507352983,77.4608727146405
"X11",2006,"Chon Buri",0.283757862119623,71.2390188336766,0.621564840833459,79.3175388122156,0.709394655299056,81.1059487377456,0.445905211902264,75.760226951574
"X70",2006,"Chumphon",1.76605761918811,80.4788433089202,4.98651563064879,81.0861353448636,10.1288598747553,85.9920091640905,6.1292587960058,84.1787670938343
"X35",2006,"Kalasin",0.66495619473191,63.0376810991751,3.64873399160587,68.5312799274517,7.46796957160453,78.2053725374473,6.03575622910503,72.9861843358537
"X50",2006,"Kamphaeng Phet",2.41048824094965,66.8921488007012,4.45366398804031,68.1365625555064,14.2218806216029,80.3568538169631,3.30581244473095,78.083795190987
"X57",2006,"Kanchanaburi",1.61622062967956,67.1995693072734,2.59393434393015,75.4373525449997,6.13565239045017,85.0923226599114,3.7711814692523,77.5056945882379
"X29",2006,"Khon Kaen",0.970090401012546,60.8048546926936,4.88849476588675,68.2272602424053,13.3244769786135,75.0457463504216,5.90613861792932,73.6824805669945
