"","Province","Year","Month","Dengue","Humidity"
"1","Amnat Charoen",2006,"01",NA,68.4585706389149
"2","Ang Thong",2006,"01",4.57093028979698,69.242851677842
"3","Bangkok",2006,"01",9.07938214017306,65.0396672824
"4","Bungkan",2006,"01",NA,67.2408040112788
"5","Buri Ram",2006,"01",0.26040479926045,62.4871582159428
"6","Chachoengsao",2006,"01",3.3385637498748,57.8822321199755
"7","Chai Nat",2006,"01",2.07624567325232,58.6268198861988
"8","Chaiyaphum",2006,"01",0.446589263815462,56.1070508712912
"9","Chanthaburi",2006,"01",3.57140731305171,56.8981229774961
"10","Chiang Mai",2006,"01",0.480653977802198,63.2096784177034
"11","Chiang Rai",2006,"01",0.163263573529424,69.9200739467105
"12","Chon Buri",2006,"01",0.324294699565283,72.1200958041433
"13","Chumphon",2006,"01",1.45440039227256,72.1144289670291
"14","Kalasin",2006,"01",0.409203812142714,74.4029063816639
"15","Kamphaeng Phet",2006,"01",2.20387496315397,68.2312273550725
"16","Kanchanaburi",2006,"01",1.67608065300102,68.536822053575
"17","Khon Kaen",2006,"01",0.913026259776514,69.2657526545778
"18","Krabi",2006,"01",5.60109489228851,65.829091373132
"19","Lampang",2006,"01",0.259533643995105,62.8388801907137
"20","Lamphun",2006,"01",0.740453700664187,60.6524387693651
"21","Loei",2006,"01",0.649838027871553,60.9017985771998
"22","Lop Buri",2006,"01",2.26720777358863,61.421472223328
"23","Mae Hong Son",2006,"01",0.392458517134739,62.7029580036723
"24","Maha Sarakham",2006,"01",0.427348144507775,62.3655455786903
"25","Mukdahan",2006,"01",0.297524300297227,62.6249759012977
"26","Nakhon Nayok",2006,"01",2.41452578713541,63.759158912572
"27","Nakhon Pathom",2006,"01",5.89672310673069,62.8552892095392
"28","Nakhon Phanom",2006,"01",0.143450412778563,63.9065668656476
"29","Nakhon Ratchasima",2006,"01",0.70505729765639,59.6641821941184
"30","Nakhon Sawan",2006,"01",5.68137895449588,62.1191267189945
"31","Nakhon Si Thammarat",2006,"01",8.42735586069514,66.6822571229098
"32","Nan",2006,"01",0.209476288331542,63.5010581357139
"33","Narathiwat",2006,"01",1.12435823739981,58.892892179818
"34","Nong Bua Lam Phu",2006,"01",0.602890255886721,60.7346953913851
"35","Nong Khai",2006,"01",0.664733032135411,62.1764699602689
"36","Nonthaburi",2006,"01",3.80788349048176,62.4185731554695
"37","P.Nakhon S.Ayutthaya",2006,"01",4.60095279159524,64.3392906490522
"38","Pathum Thani",2006,"01",0.892017889418772,65.0895558647487
"39","Pattani",2006,"01",6.11471199706494,71.7639275955069
"40","Phangnga",2006,"01",4.86052323532628,68.588283719876
"41","Phatthalung",2006,"01",7.36226104985843,67.4031691827111
"42","Phayao",2006,"01",NA,67.2136439358747
"43","Phetchabun",2006,"01",1.30321764436393,67.5683200588696
"44","Phetchaburi",2006,"01",4.16610935817796,66.7037328061481
"45","Phichit",2006,"01",6.66979125356023,67.6076929605666
"46","Phitsanulok",2006,"01",1.18809575576553,73.2004747575869
"47","Phrae",2006,"01",1.07324695841812,74.1763959034275
"48","Phuket",2006,"01",2.85263298024076,61.2522801750819
"49","Prachin Buri",2006,"01",3.73636227768644,67.8409481538741
"50","Prachuap Khiri Khan",2006,"01",2.83063883474731,68.6607165735
"51","Ranong",2006,"01",8.29705675739959,68.1808717349445
"52","Ratchaburi",2006,"01",7.93805431072431,67.050374891493
"53","Rayong",2006,"01",3.25637993384407,68.0592395070536
"54","Roi Et",2006,"01",0.229254563503132,65.0941879574647
"55","Sa Kaeo",2006,"01",2.2257793473644,64.3947584495499
"56","Sakon Nakhon",2006,"01",0.269526280609201,66.9406378145163
"57","Samut Prakan",2006,"01",7.09886950503132,67.0856431534128
"58","Samut Sakhon",2006,"01",14.0445254014394,57.9134170795309
"59","Samut Songkhram",2006,"01",7.20861738718514,61.8960001079955
"60","Saraburi",2006,"01",2.11122587518433,67.2731897192064
"61","Satun",2006,"01",1.05454826667417,68.2255188777577
"62","Si Sa Ket",2006,"01",0.623695869262258,66.7506395024759
"63","Sing Buri",2006,"01",5.56449481342713,68.654133997761
"64","Songkhla",2006,"01",6.56645898038742,81.6865258415234
"65","Sukhothai",2006,"01",0.660828249085992,78.8543940853311
"66","Suphan Buri",2006,"01",4.0352059853973,78.4410957222554
"67","Surat Thani",2006,"01",11.3352513952664,77.1257445595481
"68","Surin",2006,"01",1.01990861618799,81.682400425553
"69","Tak",2006,"01",3.39029020884188,78.8685417263392
"70","Trang",2006,"01",2.45767877155384,79.0367697481794
"71","Trat",2006,"01",3.6274105276522,79.2588943556984
"72","Ubon Ratchathani",2006,"01",0.112000331520981,77.4574596032618
"73","Udon Thani",2006,"01",0.457311297026301,77.8661051842474
"74","Uthai Thani",2006,"01",3.05833779340928,82.2115487097282
"75","Uttaradit",2006,"01",0.644777197239494,80.0068346486508
"76","Yala",2006,"01",2.76189687077085,81.4307731240483
"77","Yasothon",2006,"01",NA,84.2132459903895
"78","Amnat Charoen",2006,"02",NA,72.4106443862734
"79","Ang Thong",2006,"02",5.27415033438113,72.6386868184007
"80","Bangkok",2006,"02",6.1054034044709,70.5894166811883
"81","Bungkan",2006,"02",NA,70.8463883163905
"82","Buri Ram",2006,"02",0.911416797411576,66.3176931990073
"83","Chachoengsao",2006,"02",0.910517386329492,61.6162813463458
"84","Chai Nat",2006,"02",4.15249134650464,60.9618161271471
"85","Chaiyaphum",2006,"02",0.178635705526185,59.4371044801839
"86","Chanthaburi",2006,"02",2.77776124348466,59.3772842550099
