"","Provinces","intermon","premon","mon","postmon","intermonH","premonH","monH","postmonH"
"50","Prachuap Khiri Khan",4.24595825212096,15.1641366147177,18.80352940225,4.85252371670967,71.7985052596273,79.5482869412228,83.596911685346,79.1504104892834
"51","Ranong",13.8284279289993,17.7003877491191,29.8694043266385,8.29705675739959,78.5051061969431,81.0798321284176,87.8484909198576,84.0256806212815
"52","Ratchaburi",15.9963821716111,24.5358042331479,75.411515951881,15.7558350712861,68.0572672910084,74.5109856739669,80.2721669880641,73.4647488483804
"53","Rayong",9.59775138396147,34.9632371844311,77.1247879068332,20.0524448557766,73.7792334753942,82.0496796348233,83.6775285850451,77.6338509787207
"54","Roi Et",0.382090939171887,14.0609465615254,69.6933873049521,6.72480052942521,60.7867436678904,66.833329823332,76.9744453646102,72.8941050403523
"55","Sa Kaeo",3.8951138578877,20.5884589631207,37.6527672929144,6.30637481753246,65.5558668940799,75.431217430794,84.1905905995148,76.4973945322942
"56","Sakon Nakhon",0.718736748291203,15.4528400882609,53.6357298412311,3.32415746084682,63.1979058721151,69.6725083065672,81.190786177445,73.6177062487123
"57","Samut Prakan",14.6414183541271,21.4740802527198,46.2313876515165,24.0474204482936,70.9407692481213,74.0069417778276,76.1965171070549,72.8985073660303
"58","Samut Sakhon",21.917971459822,20.215604744496,36.3880885400929,13.4061378831921,69.4069460035669,72.895986286903,74.707776242092,72.3595561856538
"59","Samut Songkhram",13.3874322904867,14.4172347743703,30.3791732745659,18.0215434679628,69.5442387620026,72.7774962224401,75.0511857341698,71.6365964357925
"60","Saraburi",2.7608338367795,10.8809333567192,26.4715244350035,5.6840696639578,64.1016082431959,71.5505122336788,78.3172658878824,74.048886821581
"61","Satun",1.75758044445694,1.40606435556555,NA,2.46061262223972,76.9208405124795,80.9037498601613,83.8874483586616,84.7893416975922
"62","Si Sa Ket",1.45529036161193,21.6214568010916,62.1616883031384,8.38524446452591,60.2239182196228,68.5770904736151,80.6612783150438,75.1224203738101
"63","Sing Buri",6.49191061566498,11.5926975279732,19.9394397481139,6.49191061566498,57.7720776757375,65.8779521121173,72.4340473382751,72.023234214807
"64","Songkhla",11.0195748406502,10.9440983006457,18.2653226810777,14.491495680855,78.9531962819619,81.0004671908841,81.4782834194674,85.4350724097526
"65","Sukhothai",0.82603531135749,4.46059068133045,30.5633065202271,2.31289887180097,64.6886033863491,64.2759345118205,80.2921223831177,76.8739035288493
"66","Suphan Buri",7.12095173893641,11.3935227822983,26.5848864920293,22.0749503907029,59.8747508502829,66.5725914738096,74.1330775346427,73.1893100291285
"67","Surat Thani",17.7242112725984,20.8156434713074,32.2539426065308,13.0870629745348,81.6449765692224,79.2892115147612,84.2142343865686,85.7482412578343
"68","Surin",3.42397892577397,20.6895747855278,130.912555949273,14.2058700111899,60.0300976018833,66.14062895228,78.9907044034234,74.1021039548408
"69","Tak",4.5203869451225,26.9339722146882,104.533948105958,5.27378476930959,65.9787784657753,72.7050838467748,86.8417728708751,78.4542363197311
"70","Trang",3.44075028017538,3.6045955316123,6.55381005747691,0.983071508621537,76.8456368354059,79.7694752970049,83.8024148479585,84.3655100730157
"71","Trat",6.34796842339136,15.4164947425219,22.6713157978263,12.2425105308262,75.4951971410736,83.9428264132037,88.6949115277629,80.5245430799035
"72","Ubon Ratchathani",0.672001989125888,7.28002154886378,32.9280974671685,5.15201524996514,61.2084710001374,69.403887107754,83.2216936963631,74.5656049441286
"73","Udon Thani",0.587971667605244,5.03042426728931,21.5589611455256,6.33702797307874,62.8598905564623,69.4642470557136,79.1817495837183,73.3154026546719
"74","Uthai Thani",6.72834314550042,16.5150240844101,46.1809006804802,9.17501338022785,67.8662294398473,72.6486667015033,80.5172922400789,78.1370237211941
"75","Uttaradit",1.28955439447899,8.38210356411342,45.9941067364172,5.58806904274228,65.7190495649974,71.0060360802544,83.6965599236665,75.7081036002547
"76","Yala",3.39925768710258,7.43587619053689,21.6702677552789,14.234391564742,81.1217099076611,81.6277852850445,79.2994204537343,85.8989543332892
"77","Yasothon",NA,4.81890195758625,12.6032820429179,NA,61.8658313270088,67.5740285512564,79.5467865265168,73.3598838325019
