"","Provinces","intermon_06","premon_06","mon_06","postmon_06","intermon_07","premon_07","mon_07","postmon_07","intermon_08","premon_08","mon_08","postmon_08","intermon_09","premon_09","mon_09","postmon_09","intermon_10","premon_10","mon_10","postmon_10","intermon_11","premon_11","mon_11","postmon_11","intermon_12","premon_12","mon_12","postmon_12","intermon_13","premon_13","mon_13","postmon_13","intermon_14","premon_14","mon_14","postmon_14","intermon_15","premon_15","mon_15","postmon_15","intermon_16","premon_16","mon_16","postmon_16","intermon_17","premon_17","mon_17","postmon_17","intermon_18","premon_18","mon_18","postmon_18","intermon_19","premon_19","mon_19","postmon_19","intermon_20","premon_20","mon_20","postmon_20"
"11","Chiang Rai",0.244895360294136,1.55100394852953,6.12238400735339,1.14284501470597,NA,NA,49.0500824155455,1.62957084437028,0.414017185714673,10.0424040511058,50.2957069559549,16.988400186454,1.33738117546064,13.5200773148125,61.5080060556593,9.59758574816937,3.33758928567736,5.92330076352181,160.596534785627,24.6108975385765,5.25244811926472,4.58171827764046,31.6555081000614,3.41546271605926,1.9963653020889,3.90151578038617,68.1520096956818,32.1252469576478,28.0205276778588,108.056726055085,925.561750071831,50.5920763369018,4.79883969011303,2.42576000626003,13.6155561641692,5.24277162643296,2.42323741222367,12.0073853216732,94.8115620204843,31.0320737534151,12.3002272110395,8.07694846673889,78.9055734827569,9.94085965137095,4.18593036868599,6.50089387290752,100.996029811242,25.6940091167297,8.10918793000704,15.7128068618752,163.752095040915,34.5835798087351,11.6426457782849,20.3856910980938,317.290926977528,74.2070043381368,7.48554785004425,5.46816335175309,148.256541579221,22.7198336446079
"12","Chon Buri",0.567515724239245,1.86469452250038,2.83757862119623,0.891810423804528,NA,2.21398654370607,10.5164360826038,1.34420611582154,1.63147838276938,22.9530315836816,122.442016454842,36.4456920416566,13.9368256673326,28.6410396469479,65.3349976031172,25.526231621683,28.376881860277,38.3220185021395,109.736930174742,2.24105371357541,12.4633248338346,41.5688540046129,57.844489964091,17.741909469341,14.8486623897544,21.2895420878424,54.3746412784082,33.157023319241,30.0104196396788,31.0955555164712,72.8846052377016,19.9095977628084,10.058008182478,10.1028219862148,12.5082557924564,9.14064846371815,16.6925892396377,27.5108914135676,99.1201234753538,62.3040776130795,39.8587759741906,11.4635964548994,12.5238134680692,6.758883458958,5.94706617675004,9.70402717127608,21.687523812315,8.2712177902823,11.6102669759374,34.6531254231371,93.3709212790084,26.6315686122257,39.7739389915981,37.0799388595845,110.473965862204,49.0144458591409,33.8352327709672,32.3930712925404,92.7591066837072,1.89433165453452
"13","Chumphon",3.53211523837622,14.9595468919464,40.5154394990214,12.2585175920116,11.9891041731403,55.7020312674069,133.478571222268,20.8366857704004,24.0301753680298,47.5659362288414,75.654441674321,15.991995801076,10.6213852675546,64.4945342923154,53.677413034427,7.5515752177711,8.54262623013055,24.3812248314648,71.111905758439,29.0542929241622,18.1999502473077,13.5268821546102,23.4196765661909,6.6624941955543,7.63085608889763,29.0992867664471,100.342368160162,27.2931241395642,44.026273781587,67.5223492983069,118.863307196724,17.180242720871,14.8810758776607,15.2225055848803,51.5983630864124,19.9671826502975,18.5391000098355,21.8674399728923,53.7820820954918,19.5033924082553,15.9201498748792,3.53183557343275,24.5266359266163,9.81065437064652,7.04904933329108,18.2009264858708,24.2679019811611,14.8738754078084,10.7586373551278,11.3435451316634,26.9898142787852,7.62755620922191,17.8620342673952,33.7779453582819,54.5945861023393,9.42640335579959,8.83391044327565,23.5534732540497,68.6976303243117,28.0678889610759
"14","Kalasin",1.32991238946382,10.9462019748176,29.8718782864181,12.0715124582101,11.2464743917993,21.1530345407594,94.0134868478198,20.8464688227774,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5943534133682,26.1802771849581,2.85232591898376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00363275385885,18.9808597821972,4.77059042654154,0.812003441040466,11.5708787371908,84.6501128668172,34.4081394026991,20.1915246771201,11.3589687679069,50.5068432715858,7.40361357193929,4.36327101991711,5.68328282654012,48.307904025591,3.85651334658079,0.406346706469187,6.50791423382529,49.3177875532073,7.32140351305345,8.06439007589776,18.1134392509018,92.6139125540461,16.8854094711797,10.6548784644462,10.6604344127023,26.3435735006202,2.87011695726601
"15","Kamphaeng Phet",4.8209764818993,13.3609919641209,56.8875224864117,6.6116248894619,7.71206699793471,18.7272879995263,64.1685015277887,11.7045549997039,15.8257408430621,40.8614754707325,86.4006956081481,16.0969448824098,6.32768514968609,8.11450529712155,31.907885236139,5.91396148773266,9.91415216251274,13.636194592629,40.4953657599286,9.77949309168344,8.39009958061144,29.1386905457319,127.000707850266,16.2187051150772,11.1228272993814,22.9196946053627,78.091654074559,36.9185499930692,19.7463277341072,35.2285469115393,93.8970997447644,10.5548564676596,4.65843678486907,9.99783608479261,82.8587785109524,6.84783293478946,4.38492590745827,11.1028563125906,50.5796787573574,26.5920262301554,15.63000979643,7.68035461294441,6.5831610968095,3.01728216937102,2.33428483244624,8.10654472957803,51.2498505785188,6.59515503423298,4.54334963090887,18.1851496210738,83.0730698599055,14.0521610708298,11.2474662794278,15.963748288098,39.0691734419242,7.00164398600791,8.70417482909017,13.9017023266395,41.2838432730505,9.96990772920607
"16","Kanchanaburi",3.23244125935911,7.78180303179046,24.5426095618007,7.5423629385046,5.96198585624472,13.437903211421,61.9570581694722,20.3352340633008,15.3199141318681,35.5161784591978,62.8732348399312,26.2771725762308,13.7331597391355,20.0053347559349,50.4896543840262,15.5993979346873,12.9901743591596,10.8473574168508,47.4422884824905,13.3505937438164,9.77995326361537,39.1282511938292,39.9633053351609,18.7290714555829,13.6580287809456,19.5756938693672,71.0657007742484,34.5244055514295,20.7937426197583,14.9729190589933,25.1120610989415,5.06957101997411,4.56161928323726,9.63559320112544,14.0566300816418,8.04855432094007,8.25362169800449,19.5455490378619,71.290412964687,32.7642151501731,14.6666145349313,5.18030268733833,7.88306930681919,2.02707496461065,1.34747055899729,1.2315946575663,8.95705205502765,2.4631893151326,5.02854706036883,12.0599648251026,38.301554953798,8.48664191396108,13.209950642958,10.2020682170821,72.7598051965524,6.16608518614851,12.3097611350383,10.178356117192,44.5163267543124,12.5272075288517
"17","Khon Kaen",1.94018080202509,14.6654842976603,53.297907914454,11.8122772358586,4.21771450254831,13.3249739052594,34.6221544205032,4.89721263184749,1.87519423378326,6.80950743427974,25.1384316115494,6.0718107955661,1.36000902708635,5.03507296047015,34.0574598000341,8.14663490233373,5.71764709671512,8.88981498992676,37.6543119000083,4.5298420330837,4.01269757810625,9.18405062834683,50.1460433081514,7.60642229955105,6.46462162600963,14.2564076659061,49.2800233490771,21.6091218558026,19.0362681314486,23.5747736514475,131.560644429287,6.92718467483292,1.61363308609372,2.3915275409424,15.3502697976768,4.44935356454399,1.22253348356234,9.54625856041311,74.5385188757838,34.9104455494177,15.5775252396958,6.0911119601752,24.5305690759783,4.26377837212264,1.16285416624134,2.71333604666938,16.5015131001526,1.77197456109021,1.05331694245021,7.37711828682236,49.7539481449598,12.0918179438141,21.6437152989754,25.3548141547847,114.514600193588,39.0631312582508,8.4230148763353,8.7667230826702,37.1329353501636,4.46712004212494
"18","Krabi",8.0363535411096,9.49750873040226,16.5597588119834,7.30577594646327,7.19780867385927,30.331617726084,91.9501797208058,19.345362486715,37.4906888928968,75.2538939787507,86.0379410909705,30.4766548823601,31.6201254122618,71.411403638515,83.4288566780062,22.417172015974,32.2677260355918,65.519280246736,247.694839957173,33.1020753859816,36.577805832748,32.361950436774,63.1507505050936,20.2262190229837,51.4357084574421,153.030672669609,131.517665062432,58.3290824813147,107.834986532727,170.092226325548,208.40128630878,24.5177983892682,15.8700864454435,41.3329553495881,121.185628250101,32.2440332308305,37.0096165016099,45.7149234543312,221.706647550818,56.6607501969176,26.4941465244195,16.8167759047532,59.3908921193182,21.0741875262097,15.4664313750657,28.285676893135,50.0276524154702,16.8869712794836,23.1185996223177,55.1664537619117,97.3278880058061,23.702696863483,29.1143186070657,30.9772484668355,57.1404650773385,12.7676497059254,26.5038203176621,59.8726194375312,226.347707629691,30.2492328168711
"19","Lampang",0.51906728799021,7.13717520986539,16.4803863936892,1.81673550796574,1.55973595288466,8.46778658572331,20.4529614455163,1.04218911824287,1.56753287550683,11.3800166906911,125.441793176699,19.3591088531298,5.24138097594116,9.18696658175285,42.2600462760631,6.69336136670565,4.48059842717886,10.1645602705621,166.989204444949,19.2730623311957,3.565961995281,4.75680189637836,17.7058737254083,1.58560063212612,2.11686344821348,1.85464363022645,20.7985035675395,6.35877816077641,11.9448285759447,59.4943247991734,369.449133016296,16.9983785140496,2.12584102947539,3.5887266134649,12.6270010473765,3.1899792119688,1.46580755293751,8.81351405488416,129.131334713227,36.5894371369433,18.7142824320824,9.77835286994657,73.1367214656278,10.0462529485752,2.95615010230093,8.61508474416564,30.0181859054521,4.03832097382764,1.61865903420307,7.58482817655313,32.6418498312376,2.30253712502506,5.06353309060751,12.483469691233,93.008708248967,10.2885739213459,4.13490164428042,10.6254088022542,174.560287465605,20.1468790276509
"20","Lamphun",1.97454320177117,11.3536234101842,53.8063022482643,3.70226850332093,NA,5.92409750077137,72.0765195927183,16.7849429188522,4.94017332574298,5.93042133172553,59.7984150948991,16.5557595510671,NA,3.70773185683211,28.9203084832905,4.69646035198734,2.96916181396539,16.5861290450351,101.992315918723,9.15950409949697,2.72177262239601,5.18937512510101,16.3094646788889,2.96535721434343,0.987001194271445,0.987001194271445,13.5712664212324,31.3372879181184,26.3949792654575,64.1234326753283,219.25281403218,10.3584006629376,0.738772736234049,0.984288298042497,5.41358563923373,1.47643244706374,0.246072074510624,2.70936627922729,80.2957642752815,79.3105401737443,25.3718306551295,14.0422449854404,90.9050596425879,11.3323380584256,4.18792571023335,8.37531253464054,50.0055424862362,7.88264709142639,1.97226719996279,16.5401468863791,35.795840276492,7.1591680552984,4.70366025401628,2.98499294795416,61.1923554330603,16.1687118014184,2.49181999512612,16.7024398026619,102.707540279055,9.22373541341031
