"","row_number","Reporting_Area","Longitude","Latitude","Month","Year","Dengue_Cases","Relative_Humidity"
"69",69,"Amnat Charoen",104.74137,15.892609,9,2011,19,88.9517104062167
"70",70,"Amnat Charoen",104.74137,15.892609,10,2011,3,80.4627667297017
"71",71,"Amnat Charoen",104.74137,15.892609,11,2011,7,72.2823768095537
"72",72,"Amnat Charoen",104.74137,15.892609,12,2011,3,69.2317820072174
"73",73,"Amnat Charoen",104.74137,15.892609,1,2012,1,72.9375754919919
"74",74,"Amnat Charoen",104.74137,15.892609,2,2012,2,66.8415669311177
"75",75,"Amnat Charoen",104.74137,15.892609,3,2012,5,66.9896126443689
"76",76,"Amnat Charoen",104.74137,15.892609,4,2012,3,70.7332455938513
"77",77,"Amnat Charoen",104.74137,15.892609,5,2012,19,77.9199335661801
"78",78,"Amnat Charoen",104.74137,15.892609,6,2012,48,79.3826128699563
"79",79,"Amnat Charoen",104.74137,15.892609,7,2012,65,82.0485468257557
"80",80,"Amnat Charoen",104.74137,15.892609,8,2012,33,83.4472817507657
"81",81,"Amnat Charoen",104.74137,15.892609,9,2012,38,83.22714676857
"82",82,"Amnat Charoen",104.74137,15.892609,10,2012,12,74.6712870987979
"83",83,"Amnat Charoen",104.74137,15.892609,11,2012,7,71.6613228364424
"84",84,"Amnat Charoen",104.74137,15.892609,12,2012,9,68.5928218711506
"85",85,"Amnat Charoen",104.74137,15.892609,1,2013,8,67.2840933366255
"86",86,"Amnat Charoen",104.74137,15.892609,2,2013,14,60.2303837862882
"87",87,"Amnat Charoen",104.74137,15.892609,3,2013,9,61.8092963587154
"88",88,"Amnat Charoen",104.74137,15.892609,4,2013,45,68.0797490770167
"89",89,"Amnat Charoen",104.74137,15.892609,5,2013,109,76.8085153536363
"90",90,"Amnat Charoen",104.74137,15.892609,6,2013,139,76.4755533521826
"91",91,"Amnat Charoen",104.74137,15.892609,7,2013,129,82.3293446063995
"92",92,"Amnat Charoen",104.74137,15.892609,8,2013,60,82.6073097879236
"93",93,"Amnat Charoen",104.74137,15.892609,9,2013,28,86.9834208358418
"94",94,"Amnat Charoen",104.74137,15.892609,10,2013,11,76.009842599522
"95",95,"Amnat Charoen",104.74137,15.892609,11,2013,0,73.3230691953139
"96",96,"Amnat Charoen",104.74137,15.892609,12,2013,1,70.3722771948034
"97",97,"Amnat Charoen",104.74137,15.892609,1,2014,0,65.0148563710126
"98",98,"Amnat Charoen",104.74137,15.892609,2,2014,1,66.3351830048995
"99",99,"Amnat Charoen",104.74137,15.892609,3,2014,4,64.0551067937504
"100",100,"Amnat Charoen",104.74137,15.892609,4,2014,0,71.1981879277663
"101",101,"Amnat Charoen",104.74137,15.892609,5,2014,6,72.5545438809828
"102",102,"Amnat Charoen",104.74137,15.892609,6,2014,9,80.8759132298556
"103",103,"Amnat Charoen",104.74137,15.892609,7,2014,33,86.3282603047111
"104",104,"Amnat Charoen",104.74137,15.892609,8,2014,24,83.1212823954496
"105",105,"Amnat Charoen",104.74137,15.892609,9,2014,17,85.0968647003174
"106",106,"Amnat Charoen",104.74137,15.892609,10,2014,20,76.3222218036652
"107",107,"Amnat Charoen",104.74137,15.892609,11,2014,13,71.8173878843134
