"","Provinces","intermon_06_mean","premon_06_mean","mon_06_mean","postmon_06_mean","intermon_07_mean","premon_07_mean","mon_07_mean","postmon_07_mean","intermon_08_mean","premon_08_mean","mon_08_mean","postmon_08_mean","intermon_09_mean","premon_09_mean","mon_09_mean","postmon_09_mean","intermon_10_mean","premon_10_mean","mon_10_mean","postmon_10_mean","intermon_11_mean","premon_11_mean","mon_11_mean","postmon_11_mean","intermon_12_mean","premon_12_mean","mon_12_mean","postmon_12_mean","intermon_13_mean","premon_13_mean","mon_13_mean","postmon_13_mean","intermon_14_mean","premon_14_mean","mon_14_mean","postmon_14_mean","intermon_15_mean","premon_15_mean","mon_15_mean","postmon_15_mean","intermon_16_mean","premon_16_mean","mon_16_mean","postmon_16_mean","intermon_17_mean","premon_17_mean","mon_17_mean","postmon_17_mean","intermon_18_mean","premon_18_mean","mon_18_mean","postmon_18_mean","intermon_19_mean","premon_19_mean","mon_19_mean","postmon_19_mean","intermon_20_mean","premon_20_mean","mon_20_mean","postmon_20_mean"
"13","Chumphon",1.76605761918811,4.98651563064879,10.1288598747553,6.1292587960058,3.99636805771342,18.5673437558023,33.3696428055669,10.4183428852002,8.01005845600995,15.8553120762805,18.9136104185802,7.99599790053799,3.54046175585153,21.4981780974385,13.4193532586068,3.77578760888555,2.84754207671018,8.12707494382159,17.7779764396097,14.5271464620811,6.06665008243589,4.50896071820342,5.85491914154772,3.33124709777715,2.54361869629921,9.69976225548237,25.0855920400406,13.6465620697821,14.6754245938623,22.5074497661023,29.7158267991809,8.5901213604355,4.96035862588691,5.07416852829343,12.8995907716031,9.98359132514877,6.17970000327852,7.28914665763075,13.4455205238729,9.75169620412763,5.30671662495974,1.17727852447758,6.13165898165408,4.90532718532326,2.34968311109703,6.06697549529027,6.06697549529027,7.4369377039042,3.58621245170927,3.78118171055445,6.74745356969631,3.81377810461096,5.95401142246508,11.2593151194273,13.6486465255848,4.7132016778998,6.08509991496518,11.2533261102682,13.6413865929705,4.71069465080994
"14","Kalasin",0.66495619473191,3.64873399160587,7.46796957160453,6.03575622910503,3.74882479726645,7.05101151358648,23.5033717119549,10.4232344113887,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53145113778941,6.54506929623951,1.42616295949188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33454425128628,4.74521494554929,2.38529521327077,0.270667813680155,3.85695957906361,21.1625282167043,17.2040697013495,6.73050822570672,3.78632292263562,12.6267108178965,3.70180678596964,1.4544236733057,1.89442760884671,12.0769760063978,1.9282566732904,0.135448902156396,2.16930474460843,12.3294468883018,3.66070175652673,2.68813002529925,6.03781308363394,23.1534781385115,8.44270473558984,2.76576079746875,6.04774644566766,23.1915700564798,8.4565946062302
"15","Kamphaeng Phet",2.41048824094965,4.45366398804031,14.2218806216029,3.30581244473095,2.57068899931157,6.24242933317544,16.0421253819472,5.85227749985197,5.27524694768738,13.6204918235775,21.600173902037,8.04847244120488,2.1092283832287,2.70483509904052,7.97697130903475,2.95698074386633,3.30471738750425,4.54539819754301,10.1238414399821,4.88974654584172,2.79669986020381,9.71289684857731,31.7501769625664,8.1093525575386,3.70760909979379,7.63989820178755,19.5229135186398,18.4592749965346,6.58210924470241,11.7428489705131,23.4742749361911,5.27742823382982,1.55281226162302,3.3326120282642,20.7146946277381,3.42391646739473,1.46164196915276,3.70095210419688,12.6449196893393,13.2960131150777,5.21000326547665,2.56011820431481,1.64579027420237,1.50864108468551,0.778094944148748,2.70218157652601,12.8124626446297,3.29757751711649,1.51444987696962,6.06171654035794,20.7682674649764,7.02608053541489,3.74915542647595,5.32124942936602,9.76729336048104,3.50082199300396,2.058864195961,5.33600695365959,9.7943811846778,3.51053089056552
"16","Kanchanaburi",1.61622062967956,2.59393434393015,6.13565239045017,3.7711814692523,1.98732861874824,4.47930107047368,15.489264542368,10.1676170316504,5.10663804395602,11.8387261530659,15.7183087099828,13.1385862881154,4.57771991304516,6.66844491864497,12.6224135960066,7.79969896734367,4.33005811971988,3.61578580561694,11.8605721206226,6.67529687190821,3.25998442120512,13.0427503979431,9.99082633379023,9.36453572779144,4.55267626031521,6.52523128978908,17.7664251935621,17.2622027757148,6.93124753991942,4.99097301966443,6.27801527473538,2.53478550998706,1.52053976107909,3.21186440037515,3.51415752041045,4.02427716047004,2.75120723266816,6.51518301262062,17.8226032411717,16.3821075750865,4.88887151164377,1.72676756244611,1.9707673267048,1.01353748230532,0.449156852999097,0.410531552522101,2.23926301375691,1.2315946575663,1.67618235345628,4.0199882750342,9.57538873844951,4.24332095698054,4.403316880986,3.40068940569402,18.1899512991381,3.08304259307425,3.6931367985325,3.39278537239734,18.1476734067517,3.07587684860199
"17","Khon Kaen",0.970090401012546,4.88849476588675,13.3244769786135,5.90613861792932,1.40590483418277,4.44165796841981,8.65553860512579,2.44860631592374,0.62506474459442,2.26983581142658,6.28460790288734,3.03590539778305,0.453336342362118,1.67835765349005,8.51436495000852,4.07331745116686,1.9058823655717,2.96327166330892,9.41357797500207,2.26492101654185,1.33756585936875,3.06135020944894,12.5365108270378,3.80321114977553,2.15487387533654,4.75213588863538,12.3200058372693,10.8045609279013,6.34542271048285,7.85825788381584,32.8901611073216,3.46359233741646,0.537877695364574,0.797175846980798,3.83756744941919,2.224676782272,0.407511161187447,3.18208618680437,18.6346297189459,17.4552227747089,5.19250841323194,2.03037065339173,6.13264226899458,2.13188918606132,0.387618055413781,0.904445348889793,4.12537827503814,0.885987280545104,0.351105647483403,2.45903942894079,12.43848703624,6.04590897190705,7.21457176632512,8.45160471826158,28.628650048397,19.5315656291254,6.25107665791641,8.46891507986187,28.6872865205211,19.5715696845599
"18","Krabi",4.0181767705548,3.16583624346742,4.13993970299586,3.65288797323164,2.39926955795309,10.110539242028,22.9875449302015,9.67268124335749,12.4968962976323,25.0846313262502,21.5094852727426,15.2383274411801,10.5400418040873,23.8038012128383,20.8572141695016,11.208586007987,10.7559086785306,21.8397600822453,61.9237099892932,16.5510376929908,12.1926019442493,10.787316812258,15.7876876262734,10.1131095114919,17.1452361524807,51.010224223203,32.879416265608,29.1645412406574,35.9449955109089,56.6974087751827,52.1003215771949,12.2588991946341,5.29002881514782,13.777651783196,30.2964070625253,16.1220166154152,12.33653883387,15.2383078181104,55.4266618877044,28.3303750984588,8.83138217480649,5.60559196825106,14.8477230298296,10.5370937631048,5.15547712502192,9.42855896437834,12.5069131038675,8.4434856397418,7.70619987410591,18.3888179206372,24.3319720014515,11.8513484317415,9.70477286902189,10.3257494889452,14.2851162693346,6.38382485296272,7.44383744764042,10.2916930043608,14.2380009638031,6.36276966147979
"19","Lampang",0.259533643995105,2.37905840328846,4.1200965984223,0.908367753982868,0.519911984294887,2.82259552857444,5.11324036137908,0.521094559121435,0.522510958502276,3.79333889689705,31.3604482941747,9.67955442656488,1.74712699198039,3.06232219391762,10.5650115690158,3.34668068335282,1.49353280905962,3.38818675685404,41.7473011112372,9.63653116559785,1.188653998427,1.58560063212612,4.42646843135208,0.792800316063059,0.705621149404493,0.618214543408817,5.19962589188487,3.1793890803882,3.98160952531489,19.8314415997245,92.362283254074,8.49918925702478,0.708613676491795,1.1962422044883,3.15675026184413,1.5949896059844,0.488602517645838,2.93783801829472,32.2828336783067,18.2947185684717,6.23809414402746,3.25945095664886,18.2841803664069,5.02312647428762,0.985383367433642,2.87169491472188,7.50454647636303,2.01916048691382,0.539553011401024,2.52827605885104,8.16046245780939,1.15126856251253,1.68784436353583,4.16115656374435,23.2521770622418,5.14428696067295,1.65428519230787,4.18576710391834,23.3896985971701,5.17471207901992
"20","Lamphun",0.987271600885583,3.78454113672807,13.4515755620661,1.85113425166047,NA,1.97469916692379,18.0191298981796,8.3924714594261,1.64672444191433,1.97680711057518,14.9496037737248,8.27787977553355,NA,1.23591061894404,7.23007712082262,2.34823017599367,0.989720604655129,5.52870968167835,25.4980789796808,4.57975204974849,0.907257540798671,1.729791708367,4.07736616972222,1.48267860717172,0.329000398090482,0.329000398090482,3.39281660530809,15.6686439590592,8.79832642181918,21.3744775584428,54.813203508045,5.17920033146882,0.246257578744683,0.328096099347499,1.35339640980843,0.738216223531872,0.0820240248368747,0.903122093075763,20.0739410688204,39.6552700868721,8.45727688504317,4.68074832848014,22.726264910647,5.6661690292128,1.39597523674445,2.79177084488018,12.501385621559,3.9413235457132,0.657422399987598,5.51338229545969,8.948960069123,3.5795840276492,1.56788675133876,0.994997649318054,15.2980888582651,8.08435590070918,0.747509949605912,0.997160585233547,15.3313439979658,8.10192975502257
"21","Loei",0.812297534839441,8.66450703828737,7.79805633445864,1.86828433013071,NA,3.18013182993949,8.32763335128221,1.13191132930049,NA,4.18827926157415,6.44350655626792,1.36924514320693,0.267348503771288,3.52526816073941,7.81167376527483,5.04754304833143,3.57466669547305,12.3749173227506,23.6030211867119,1.52019458490687,0.743464546020332,3.22860480342296,8.3758477072407,2.06418995628681,1.00279692855922,6.74886574238841,17.9925815202347,9.72785726148955,12.1466065134042,46.4398155225609,63.3950762238126,6.46164853990383,0.68081382200859,1.04359242080568,2.26981351525236,1.25231090496682,0.208638396152738,5.05365470409289,24.6561040073398,16.0987557068526,3.69179834389865,6.07792839265288,17.7272911452376,4.44156305616941,1.14151633501424,3.78568068872422,8.94561532609491,2.95594245557919,0.777779659123778,3.47357233584779,13.2591958939264,3.96609378645307,2.13348577194268,12.8900411646335,49.277009593948,16.0473184539465,2.2962091816426,12.8901218873226,49.2773181866573,16.0474189487923
"22","Lop Buri",1.6670645394034,7.69072440844771,13.1364685704988,11.269356286367,3.01824932609031,1.68037275974251,8.45713921844094,10.6792110915215,9.63427153092907,16.2590418829384,22.7980043793376,13.3872002460064,4.41338276088811,3.48391797004889,5.09357627266641,4.2997721782249,4.84948054807453,5.55462243776508,29.3270839422478,4.95948431943311,6.95127596350703,4.04541950780436,29.4172353339252,16.9511871767237,7.47584611261699,9.76291937675634,30.0803461878438,20.5812894969458,4.17542406925402,5.23026804464451,14.3063214162335,10.0869455146716,3.33963240405974,5.97548732076284,8.89732487098879,10.8086020654975,6.86329061583578,18.5742461474945,30.931401611734,46.2815635641954,10.4759439825837,3.60944247759174,4.42376791460939,3.69747765997203,2.02252225923078,0.74685912787063,3.88806075391475,2.10877871398766,1.41065548803778,3.6176449307971,26.2389551535558,15.6838143036386,16.9357980045897,13.9089297123454,15.4792927443844,12.6526392867142,13.8344915744496,13.9739156579528,15.551615812883,12.7117555340087
